Km,Owner Type,Seats,No Of Cylinder,Max Power Delivered,Max Torque Delivered,Listed Price,Car Age,Usage Type,Car Size,Is Turbo,Is Advanced Engine,City Freq,Brand Category_Commercial,Brand Category_Luxury,Brand Category_Mid,Brand Category_Other,Brand Category_Premium,Brand Category_Ultra_Luxury,Fuel_diesel,Fuel_electric,Fuel_lpg,Fuel_petrol,Car Segment_Other,Car Segment_SUV,Car Segment_Sedan,Transmission_manual,Drive Type_4wd,Drive Type_4x2,Drive Type_awd,Drive Type_fwd,Drive Type_rwd,Gear Type_CVT,Gear Type_Direct,Gear Type_Manual
125893.0,2.0,5,3,47.3,69.0,225000,11,2.0,7.46136125,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60783.0,1.0,5,3,58.16,77.0,300000,12,1.0,9.1468585,0,0,4881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7270.0,1.0,5,3,58.33,78.0,515000,5,0.0,9.9178425,0,0,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35000.0,1.0,5,4,61.68,85.0,575000,6,1.0,9.892640625,0,0,378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51000.0,1.0,5,3,58.33,78.0,385000,10,1.0,9.9178425,0,0,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34525.0,1.0,5,3,58.33,78.0,500000,6,1.0,9.9178425,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106871.0,1.0,7,4,80.46,112.0,600000,10,2.0,12.2696982,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76000.0,2.0,5,3,58.2,77.0,295000,14,1.0,9.0144625,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100000.0,1.0,5,3,47.3,69.0,155000,13,2.0,7.46136125,0,0,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120000.0,2.0,5,4,93.7,124.5,140000,16,2.0,9.723575,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94129.0,1.0,5,3,40.3,60.0,290000,9,2.0,7.5382825,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78917.0,1.0,5,3,58.2,77.0,200000,14,1.0,9.0144625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124076.0,2.0,5,3,58.16,77.0,234579,11,2.0,9.1468585,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100000.0,1.0,5,4,88.5,145.0,270000,12,2.0,8.64423375,0,0,309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40562.0,4.0,5,3,58.16,77.0,310000,10,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45825.0,2.0,5,3,58.16,77.0,375000,9,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,5,3,58.33,78.0,490000,6,1.0,9.9178425,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46000.0,1.0,5,4,73.0,101.0,450000,8,1.0,9.757125,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95000.0,1.0,5,3,58.33,78.0,540000,6,2.0,9.22272,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20000.0,1.0,5,4,70.67,95.0,625699,4,1.0,9.892640625,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40000.0,1.0,5,4,61.7,85.0,440000,8,1.0,9.892640625,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65337.0,1.0,5,3,58.2,77.0,271156,14,1.0,9.0144625,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45022.0,2.0,5,3,67.1,90.0,160000,16,1.0,8.46945,0,0,1206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,5,4,61.7,85.0,370000,7,1.0,9.892640625,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51382.0,3.0,5,3,58.16,77.0,263928,11,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120000.0,3.0,5,4,94.0,12.5,130000,16,2.0,9.723575,0,0,378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12000.0,1.0,5,3,58.33,78.0,600000,6,0.0,9.9178425,0,0,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120000.0,1.0,5,3,58.2,77.0,255000,14,2.0,9.0144625,0,0,378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89558.0,1.0,5,3,58.2,77.0,155128,15,2.0,9.0144625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28000.0,1.0,5,4,61.7,85.0,475000,7,1.0,9.892640625,0,0,378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42000.0,1.0,5,3,58.2,78.0,465000,10,1.0,8.9856,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90000.0,3.0,5,3,38.4,62.0,110000,15,2.0,7.5264825,0,0,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53959.0,1.0,5,3,58.16,77.0,439276,8,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51413.0,2.0,5,3,58.16,77.0,319430,12,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42813.0,1.0,5,3,58.16,77.0,350000,12,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32554.0,1.0,5,3,58.33,78.0,530000,5,1.0,9.9178425,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
